c_msgsize_count,c_pktsize6,c_msgsize4,s_msgsize4,s_pktsize2,s_rtt_cnt,s_rtt_std,s_msgsize5,c_msgsize6,c_sit3,class
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
1,0,0,0,0,3,0.931916,0,0,0.0,google
3,1,0,0,565,5,45.915531,0,0,10066.141,google
1,0,0,0,0,3,28.723603,0,0,10057.872,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,34,1418,1,0.0,30,30,1.31,google
4,0,37,517,1418,3,67.538525,0,0,1.392,google
1,0,0,0,1430,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,1418,42,48,1418,1,0.0,34,1532,2.639,google
3,0,0,789,1418,2,0.0,101,0,0.0,google
3,0,0,59,1418,3,2.986799,1301,0,4.998,google
6,30,42,34,1430,2,0.0,30,30,1.506,google
88,1192,42,48,1418,20,3.280558,34,1192,1.044,google
4,1,1403,343,343,6,146.243234,0,0,19.147,google
8,30,42,48,1418,1,0.0,34,30,1.481,google
8,30,42,48,1418,2,0.0,34,30,1.239,google
4,0,38,38,56,2,0.0,0,0,56.335,google
6,46,323,38,56,2,0.0,316,46,6.676,google
1,0,0,0,0,3,21.867917,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,0,56,3,18.053001,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,3.532,google
8,30,42,48,1418,1,0.0,34,30,2.068,google
8,30,42,34,1418,2,0.0,30,30,2.194,google
8,1348,50,56,1348,1,0.0,42,1765,2.068,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1348,1,0.0,0,0,0.0,google
2,0,0,0,49,3,23.08697,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
15,46,38,38,56,4,47.743935,253,46,32.39,google
19,46,38,42,1430,4,1.103142,38,46,57.764,google
8,30,42,48,1418,1,0.0,34,30,3.225,google
46,30,42,48,1430,4,16.671517,34,30,12.687,google
2,0,0,48,1418,1,0.0,34,0,0.0,google
8,1348,50,56,1348,2,0.0,42,1776,2.146,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
21,50,45,42,1418,2,0.0,38,50,2.229,google
13,46,992,38,56,2,0.0,274,46,16.434,google
2,0,0,0,343,4,2.23957,0,0,6.342,google
8,1418,42,48,1418,1,0.0,34,1439,2.144,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
3,0,0,59,1418,3,1.274571,965,0,2.055,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,0,3,1.259506,0,0,0.0,google
1,0,0,0,0,3,2.361319,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
2,0,0,48,1418,1,0.0,34,0,0.0,google
22,1418,42,48,1418,6,36.802492,34,1577,3.216,google
3,0,0,757,1418,3,0.923285,165,0,0.0,google
6,666,37,49,1418,3,2.690557,37,33,1.379,google
5,690,2108,1418,1418,4,18.81839,2836,0,24.636,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,0,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
3,0,0,0,151,2,0.0,0,0,2.074,google
8,30,42,48,1418,2,0.0,34,30,2.092,google
3,0,0,0,1418,1,0.0,0,0,625.701,google
7,131,76,48,1418,1,0.0,34,30,2.885,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,56,1430,2,0.0,42,0,0.0,google
2,0,0,0,56,3,4.823122,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
2,0,0,0,1430,2,0.0,0,0,0.0,google
9,46,1051,38,56,3,1.528503,332,46,9.936,google
15,314,312,92,1430,15,38.816322,689,314,2955.175,google
2,0,0,0,56,2,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
10,1418,42,48,1418,1,0.0,34,1612,1.339,google
1,0,0,0,0,3,1.496071,0,0,0.0,google
38,30,42,48,1418,8,10.964046,34,30,2.545,google
19,507,42,48,1418,1,0.0,34,507,2.146,google
8,1064,42,48,1418,1,0.0,34,1064,2.081,google
8,1170,42,30,48,2,0.0,222,1170,2.165,google
6,38,50,38,56,2,0.0,63,38,2.179,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
12,1354,42,48,1430,2,0.0,34,1354,2.093,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
68,38,50,42,1430,3,13.50515,38,38,1.16,google
76,1093,50,38,56,14,15.700207,341,1093,0.891,google
5,0,688,510,1418,4,248.205609,510,0,913.168,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
287,50,45,56,1418,4,21.931024,42,50,1.101,google
8,30,42,48,1418,1,0.0,34,30,12.599,google
9,50,45,42,1418,1,0.0,38,50,1.222,google
14,1418,42,48,1418,1,0.0,34,1520,2.934,google
0,0,0,0,0,2,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
11,882,37,324,49,4,9.845772,105,882,2.123,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,34,1418,2,0.0,30,30,1.295,google
1,0,0,0,0,3,0.782026,0,0,0.0,google
8,1348,42,48,1348,1,0.0,34,1529,3.395,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
22,1418,42,30,48,5,1.469275,333,1532,3.253,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
16,1418,37,326,49,2,0.0,1418,1998,2.3,google
8,30,42,48,1418,3,21.891105,34,30,0.995,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,4.956,google
1,0,0,0,1348,1,0.0,0,0,0.0,google
8,30,42,48,1418,1,0.0,34,30,2.592,google
2,0,0,0,343,3,21.633278,0,0,8.611,google
1,0,0,0,0,2,0.0,0,0,0.0,google
0,0,0,0,0,1,0.0,0,0,0.0,google
2,0,0,0,0,1,0.0,0,0,0.0,google
2,0,0,0,0,2,0.0,0,0,0.0,google
10,1418,42,30,48,3,1.086846,317,1601,1.209,google
0,0,0,0,0,2,0.0,0,0,0.0,google
1,0,0,14180,1418,1,0.0,0,0,0.0,google
7,156,30,34,1430,1,0.0,30,156,87.851,google
39,414,42,34,1418,2,0.0,30,414,2.131,google
11,50,45,56,1418,1,0.0,42,50,2.11,google
2,0,0,56,1430,2,0.0,42,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
0,0,0,0,0,2,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
1,0,0,0,1418,1,0.0,0,0,0.0,google
8,1418,42,48,1418,0,0.0,34,1521,2.199,google
3,0,0,0,1418,4,2.540264,0,0,7.857,google
